employee_id,first_name,last_name,gender,birth_date,hire_date,termination_date,country,city,job_title,department,manager_id,salary,created_at,updated_at
E1000,Christopher,Glover,Male,1971-05-17,2026-02-14,,UK,Yorkchester,Software Engineer,Engineering,,121453,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1001,Lee,Perkins,Female,1980-12-22,2021-12-24,,Canada,North Bradleymouth,Product Manager,Product,,112869,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1002,Phillip,Wright,Non-binary,1995-01-02,2020-02-19,,Canada,South Alexander,Software Engineer,Engineering,,101484,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1003,Angela,Gray,Female,1988-09-11,2025-07-01,,Canada,Devinbury,HR Specialist,HR,,54392,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1004,Jennifer,Hampton,Non-binary,1968-02-11,2017-10-12,2019-11-11,India,Adamland,HR Specialist,HR,,78668,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1005,Margaret,Nguyen,Male,1980-09-30,2024-04-23,,Nigeria,Territon,Support Specialist,Support,,64610,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1006,Michelle,Lara,Non-binary,1977-08-14,2023-07-16,,UK,Hallstad,Sales Manager,Sales,,85964,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1007,Deborah,Black,Female,1999-02-23,2025-11-07,,Germany,Lake Deannaburgh,HR Specialist,HR,,75407,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1008,Marissa,Stokes,Non-binary,1990-11-06,2025-05-24,,UK,South Shane,HR Specialist,HR,,69872,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1009,Kathleen,Thompson,Non-binary,1982-12-02,2020-09-18,,Canada,Harriston,Software Engineer,Engineering,,83636,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1010,Sara,Wright,Female,1988-05-18,2019-07-19,2021-11-21,UK,Bradleyville,Product Manager,Product,,97948,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1011,Christopher,Marshall,Male,1974-10-28,2022-12-25,,India,Patrickshire,HR Specialist,HR,,55847,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1012,Raymond,Stuart,Female,1974-07-12,2023-07-08,,Nigeria,New Melissa,Support Specialist,Support,,46087,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1013,Michaela,Johnson,Male,2003-08-16,2020-04-08,,UK,Lake Malloryfurt,Support Specialist,Support,,58104,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1014,James,Johnson,Male,1976-05-09,2025-01-03,,Germany,Marktown,Data Engineer,Data,,85305,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1015,Kimberly,Giles,Non-binary,1989-08-09,2021-12-22,,India,Rodneyport,Product Manager,Product,,91287,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1016,Jamie,Alexander,Female,1984-09-22,2020-02-16,,Canada,Russellborough,Support Specialist,Support,,48331,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1017,Gina,Huynh,Female,1978-03-14,2016-01-12,,UK,Reedville,Sales Manager,Sales,,85750,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1018,Brian,Jones,Non-binary,1985-01-04,2016-05-25,,UK,Rosarioport,Finance Analyst,Finance,,89804,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1019,Kyle,Jones,Male,1988-07-12,2026-01-16,,Nigeria,South Dawn,Finance Analyst,Finance,,82011,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1020,Adam,Reid,Male,2002-10-11,2020-10-04,2021-05-21,Canada,North Travis,Sales Manager,Sales,,81534,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1021,Anthony,Walker,Non-binary,1975-04-03,2018-07-05,,Germany,Port Hunterberg,Support Specialist,Support,,44443,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1022,Susan,Webster,Male,1976-03-01,2018-07-19,,India,Matthewview,Data Engineer,Data,,130860,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1023,Shane,Stanton,Male,1994-06-01,2018-08-02,2023-05-11,Nigeria,New Joyce,Software Engineer,Engineering,,88566,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1024,Wendy,Singh,Non-binary,1989-12-25,2023-10-18,,India,East Dorothyfurt,HR Specialist,HR,,60666,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1025,Jessica,Gonzalez,Male,1982-01-04,2019-07-18,,Nigeria,East Karl,Finance Analyst,Finance,,85453,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1026,Pamela,Kim,Non-binary,1969-10-23,2022-07-30,,Germany,Port Dariustown,Support Specialist,Support,,49996,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1027,Anthony,Howe,Non-binary,1987-08-01,2019-06-02,,USA,North John,Sales Manager,Sales,,104038,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1028,Angelica,Le,Non-binary,1986-04-02,2025-05-23,,Germany,Taylorview,HR Specialist,HR,,68134,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1029,Brittney,Barr,Male,1989-07-21,2021-06-25,,India,North Shaunfurt,Software Engineer,Engineering,,81391,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1030,Jill,Baker,Female,1995-03-06,2024-09-03,,Canada,Fieldshaven,Finance Analyst,Finance,,79581,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1031,Morgan,Mason,Non-binary,1986-03-01,2018-03-24,,Germany,East Carlosland,Software Engineer,Engineering,,108390,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1032,Amanda,Newton,Non-binary,1978-01-15,2019-08-03,2023-06-09,Germany,New Debbie,Software Engineer,Engineering,,105057,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1033,Holly,Owens,Non-binary,1982-07-07,2023-08-15,,Nigeria,South Barbara,Finance Analyst,Finance,,72361,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1034,Stefanie,Ritter,Non-binary,1974-10-02,2019-10-20,2022-12-31,Canada,West James,Data Engineer,Data,,104578,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1035,Jon,Gray,Non-binary,1984-08-09,2023-08-02,,USA,West Rachel,Support Specialist,Support,,46564,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1036,Patrick,Pena,Male,1981-04-06,2020-07-05,2022-10-05,USA,Leonardport,Finance Analyst,Finance,,70840,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1037,Michael,Ortiz,Male,1978-10-01,2018-06-22,2020-05-14,UK,Barbaramouth,Finance Analyst,Finance,,66976,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
E1038,Donald,Ward,Female,1987-02-26,2018-03-26,,UK,Port Emily,Sales Manager,Sales,,107671,2026-09-07 15:41:39.186659,2026-09-07 15:41:39.186659
